
[INFO] Processing 07-05
[INFO] 07-05 | Clip 0 | Pred: 133.00 | GT: 145.00
[INFO] 07-05 | Clip 1 | Pred: 137.00 | GT: 133.00
[INFO] 07-05 | Clip 2 | Pred: 137.00 | GT: 134.00
[INFO] 07-05 | Clip 3 | Pred: 135.00 | GT: 139.00
[INFO] 07-05 | Clip 4 | Pred: 136.00 | GT: 133.00
[INFO] 07-05 | Clip 5 | Pred: 133.00 | GT: 135.00
[INFO] 07-05 | Clip 6 | Pred: 129.00 | GT: 134.00
[INFO] 07-05 | Clip 7 | Pred: 132.00 | GT: 129.00
[INFO] 07-05 | Clip 8 | Pred: 119.00 | GT: 132.00
[INFO] 07-05 | Clip 9 | Pred: 128.00 | GT: 121.00
[INFO] 07-05 | Clip 10 | Pred: 130.00 | GT: 127.00

[INFO] Processing 07-06
[INFO] 07-06 | Clip 0 | Pred: 134.00 | GT: 129.00
[INFO] 07-06 | Clip 1 | Pred: 129.00 | GT: 137.00
[INFO] 07-06 | Clip 2 | Pred: 131.00 | GT: 129.00
[INFO] 07-06 | Clip 3 | Pred: 132.00 | GT: 131.00
[INFO] 07-06 | Clip 4 | Pred: 133.00 | GT: 132.00
[INFO] 07-06 | Clip 5 | Pred: 132.00 | GT: 133.00
[INFO] 07-06 | Clip 6 | Pred: 132.00 | GT: 134.00
[INFO] 07-06 | Clip 7 | Pred: 131.00 | GT: 134.00
[INFO] 07-06 | Clip 8 | Pred: 129.00 | GT: 133.00
[INFO] 07-06 | Clip 9 | Pred: 127.00 | GT: 133.00
[INFO] 07-06 | Clip 10 | Pred: 131.00 | GT: 127.00

[INFO] Processing 08-01
[INFO] 08-01 | Clip 0 | Pred: 48.00 | GT: 54.00
[INFO] 08-01 | Clip 1 | Pred: 46.00 | GT: 53.00
[INFO] 08-01 | Clip 2 | Pred: 47.00 | GT: 51.00
[INFO] 08-01 | Clip 3 | Pred: 48.00 | GT: 50.00
[INFO] 08-01 | Clip 4 | Pred: 46.00 | GT: 49.00
[INFO] 08-01 | Clip 5 | Pred: 46.00 | GT: 49.00
[INFO] 08-01 | Clip 6 | Pred: 52.00 | GT: 49.00
[INFO] 08-01 | Clip 7 | Pred: 89.00 | GT: 49.00
[INFO] 08-01 | Clip 8 | Pred: 45.00 | GT: 49.00
[INFO] 08-01 | Clip 9 | Pred: 44.00 | GT: 48.00
[INFO] 08-01 | Clip 10 | Pred: 92.00 | GT: 48.00

[INFO] Processing 08-02
[INFO] 08-02 | Clip 0 | Pred: 59.00 | GT: 53.00
[INFO] 08-02 | Clip 1 | Pred: 60.00 | GT: 54.00
[INFO] 08-02 | Clip 2 | Pred: 61.00 | GT: 54.00
[INFO] 08-02 | Clip 3 | Pred: 57.00 | GT: 54.00
[INFO] 08-02 | Clip 4 | Pred: 58.00 | GT: 54.00
[INFO] 08-02 | Clip 5 | Pred: 65.00 | GT: 54.00
[INFO] 08-02 | Clip 6 | Pred: 61.00 | GT: 58.00
[INFO] 08-02 | Clip 7 | Pred: 59.00 | GT: 58.00
[INFO] 08-02 | Clip 8 | Pred: 61.00 | GT: 62.00
[INFO] 08-02 | Clip 9 | Pred: 64.00 | GT: 64.00
