[INFO] 10-03 | Clip 0 | Pred: 79.00 | GT: 85.00
[INFO] 10-03 | Clip 1 | Pred: 69.00 | GT: 83.00
[INFO] 10-03 | Clip 2 | Pred: 71.00 | GT: 79.00
[INFO] 10-03 | Clip 3 | Pred: 74.00 | GT: 71.00
[INFO] 10-03 | Clip 4 | Pred: 70.00 | GT: 70.00
[INFO] 10-03 | Clip 5 | Pred: 73.00 | GT: 71.00
[INFO] 10-03 | Clip 6 | Pred: 71.00 | GT: 72.00
[INFO] 10-03 | Clip 7 | Pred: 73.00 | GT: 73.00
[INFO] 10-03 | Clip 8 | Pred: 74.00 | GT: 72.00
[INFO] 10-03 | Clip 9 | Pred: 76.00 | GT: 73.00
[INFO] 10-03 | Clip 10 | Pred: 70.00 | GT: 74.00
[INFO] 10-03 | Clip 11 | Pred: 76.00 | GT: 75.00
[INFO] 10-03 | Clip 12 | Pred: 71.00 | GT: 77.00
[INFO] 10-04 | Clip 0 | Pred: 78.00 | GT: 84.00
[INFO] 10-04 | Clip 1 | Pred: 73.00 | GT: 84.00
[INFO] 10-04 | Clip 2 | Pred: 74.00 | GT: 84.00
[INFO] 10-04 | Clip 3 | Pred: 71.00 | GT: 81.00
[INFO] 10-04 | Clip 4 | Pred: 73.00 | GT: 81.00
[INFO] 10-04 | Clip 5 | Pred: 73.00 | GT: 81.00
[INFO] 10-04 | Clip 6 | Pred: 76.00 | GT: 76.00
[INFO] 10-04 | Clip 7 | Pred: 74.00 | GT: 77.00
[INFO] 10-04 | Clip 8 | Pred: 76.00 | GT: 75.00
[INFO] 10-04 | Clip 9 | Pred: 75.00 | GT: 76.00
[INFO] 10-04 | Clip 10 | Pred: 74.00 | GT: 78.00
[INFO] 10-04 | Clip 11 | Pred: 74.00 | GT: 74.00
[INFO] 10-04 | Clip 12 | Pred: 75.00 | GT: 74.00
[INFO] 10-05 | Clip 0 | Pred: 72.00 | GT: 85.00
[INFO] 10-05 | Clip 1 | Pred: 75.00 | GT: 86.00
[INFO] 10-05 | Clip 2 | Pred: 70.00 | GT: 85.00
[INFO] 10-05 | Clip 3 | Pred: 75.00 | GT: 76.00
[INFO] 10-05 | Clip 4 | Pred: 75.00 | GT: 73.00
[INFO] 10-05 | Clip 5 | Pred: 72.00 | GT: 76.00
[INFO] 10-05 | Clip 6 | Pred: 74.00 | GT: 75.00
[INFO] 10-05 | Clip 7 | Pred: 75.00 | GT: 75.00
[INFO] 10-05 | Clip 8 | Pred: 71.00 | GT: 75.00
[INFO] 10-05 | Clip 9 | Pred: 76.00 | GT: 75.00
[INFO] 10-05 | Clip 10 | Pred: 74.00 | GT: 75.00
[INFO] 10-06 | Clip 0 | Pred: 78.00 | GT: 80.00
[INFO] 10-06 | Clip 1 | Pred: 80.00 | GT: 79.00
[INFO] 10-06 | Clip 2 | Pred: 77.00 | GT: 77.00
[INFO] 10-06 | Clip 3 | Pred: 74.00 | GT: 76.00
[INFO] 10-06 | Clip 4 | Pred: 80.00 | GT: 78.00
[INFO] 10-06 | Clip 5 | Pred: 78.00 | GT: 78.00
[INFO] 10-06 | Clip 6 | Pred: 74.00 | GT: 79.00
[INFO] 10-06 | Clip 7 | Pred: 78.00 | GT: 79.00
[INFO] 10-06 | Clip 8 | Pred: 77.00 | GT: 79.00
[INFO] 10-06 | Clip 9 | Pred: 79.00 | GT: 79.00
[INFO] 10-06 | Clip 10 | Pred: 78.00 | GT: 78.00
